Date,Close
2021-09-22,33.0002326965332
2021-09-23,34.46135711669922
2021-09-24,34.54786682128906
2021-09-27,35.77828598022461
2021-09-28,36.249305725097656
2021-09-29,38.47944259643555
2021-09-30,40.949893951416016
2021-10-01,40.92105484008789
2021-10-04,41.094085693359375
2021-10-05,41.23827362060547
2021-10-06,40.382747650146484
2021-10-07,39.21000289916992
2021-10-08,39.008140563964844
2021-10-11,39.44070816040039
2021-10-13,39.66179656982422
2021-10-14,39.5272216796875
2021-10-15,39.729087829589844
2021-10-18,39.87327194213867
2021-10-19,37.58546447753906
2021-10-20,36.691490173339844
2021-10-21,34.41328811645508
2021-10-22,32.63494873046875
2021-10-25,36.8470573425293
2021-10-26,36.15073776245117
2021-10-27,35.290008544921875
2021-10-28,33.761966705322266
2021-10-29,31.276479721069336
2021-11-01,33.655582427978516
2021-11-03,34.390586853027344
2021-11-04,33.41380310058594
2021-11-05,34.332557678222656
2021-11-08,33.742618560791016
2021-11-09,34.50664138793945
2021-11-10,32.98827362060547
2021-11-11,32.543399810791016
2021-11-12,30.947660446166992
2021-11-16,30.31903648376465
2021-11-17,29.119813919067383
2021-11-18,28.887706756591797
2021-11-19,28.04631805419922
2021-11-22,28.162370681762695
2021-11-23,29.671070098876953
2021-11-24,28.820009231567383
2021-11-25,28.732969284057617
2021-11-26,26.692358016967773
2021-11-29,27.050189971923828
2021-11-30,26.711698532104492
2021-12-01,26.692358016967773
2021-12-02,28.384807586669922
2021-12-03,30.19331169128418
2021-12-06,31.295822143554688
2021-12-07,30.37706184387207
2021-12-08,29.390607833862305
2021-12-09,29.119813919067383
2021-12-10,29.438962936401367
2021-12-13,29.564687728881836
2021-12-14,28.723299026489258
2021-12-15,28.529874801635742
2021-12-16,30.62851333618164
2021-12-17,31.237794876098633
2021-12-20,29.303565979003906
2021-12-21,29.825807571411133
2021-12-22,30.444761276245117
2021-12-23,30.241666793823242
2021-12-27,30.725223541259766
2021-12-28,31.015357971191406
2021-12-29,32.378990173339844
2021-12-30,32.44668960571289
2022-01-03,33.026954650878906
2022-01-04,33.34610366821289
2022-01-05,30.957332611083984
2022-01-06,30.7639102935791
2022-01-07,32.88188934326172
2022-01-10,33.37511444091797
2022-01-11,35.10625457763672
2022-01-12,34.893489837646484
2022-01-13,34.671051025390625
2022-01-14,35.483428955078125
2022-01-17,35.3480339050293
2022-01-18,35.30934524536133
2022-01-19,35.870269775390625
2022-01-20,35.29967498779297
2022-01-21,34.81611633300781
2022-01-24,34.35190200805664
2022-01-25,36.13138961791992
2022-01-26,35.551124572753906
2022-01-27,36.09271240234375
2022-01-28,36.498897552490234
2022-01-31,36.98245620727539
2022-02-01,36.073368072509766
2022-02-02,35.251319885253906
2022-02-03,35.29967498779297
2022-02-04,36.2474479675293
2022-02-07,36.02500915527344
2022-02-08,35.444740295410156
2022-02-09,36.17007827758789
2022-02-10,37.282264709472656
2022-02-11,38.07529067993164
2022-02-14,37.572391510009766
2022-02-15,35.79290008544922
2022-02-16,35.92830276489258
2022-02-17,35.29967498779297
2022-02-18,34.487300872802734
2022-02-21,35.82191848754883
2022-02-22,34.9128303527832
2022-02-23,30.551143646240234
